source_id,weight,panel_id,period_start,period_end,selection,study_id,corpus_id,data_version,method_version,indicator_version,validation_status
kulturpunkt.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
laudato.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
lika-express.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
likemetkovic.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
lipadona.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
lupiga.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
medjimurjepress.net,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
metkovic-news.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
mirovina.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
moje-djakovo.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
mojevrijeme.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
motorevija.com.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
